"MAKE","MODEL","TYPE","CYL","ENGINE L","FUEL TANK L","CONS. L/100km","RANGE km"
"Maserati","Ghibli","Passenger","6","3.0","80","11.0","727"
"Mercedes-Benz","CLS-Class","Passenger","6","3.0","80","8.7","920"
"SsangYong","Rexton","SUV","4","2.0","70","10.4","673"
"Jeep","Grand  Cherokee","SUV","8","6.4","93","14.0","664"
"Jeep","Grand  Cherokee","SUV","8","5.7","93","13.0","715"
"Lexus","GS","Passenger","8","5.0","66","11.3","584"
"Jaguar","F-PACE","SUV","8","5.0","82","11.7","701"
"Land  Rover","Range  Rover Velar","SUV","8","5.0","82","11.7","701"
"Land  Rover","Range  Rover Sport","SUV","8","5.0","104","12.8","813"
"BMW","5  Series","Passenger","8","4.4","68","10.6","642"
"BMW","M5","Passenger","8","4.4","68","10.4","654"
"BMW","X5 M","SUV","8","4.4","83","12.5","664"
"BMW","X6 M","SUV","8","4.4","83","12.5","664"
"BMW","X5","SUV","8","4.4","83","11.5","722"
"BMW","X6","SUV","8","4.4","83","11.5","722"
"Mercedes-Benz","GLE-Class","SUV","8","4.0","85","12.6","675"
"Porsche","Cayenne","SUV","8","4.0","90","11.9","756"
"Mercedes-Benz","E-Class","Passenger","8","4.0","80","9.3","860"
"Maserati","Levante","SUV","8","3.8","80","13.5","593"
"Lexus","GS","Passenger","6","3.5","66","9.3","710"
"Lexus","RX","SUV","6","3.5","72","9.6","750"
"Maserati","Levante","SUV","6","3.0","80","11.6","690"
"Audi","A6","Passenger","6","3.0","63","7.4","851"
"Audi","A7","Passenger","6","3.0","63","7.3","863"
"Land  Rover","Range  Rover Velar","SUV","6","3.0","82","9.4","872"
"Mercedes-Benz","GLE-Class","SUV","6","3.0","80","9.1","879"
"Jaguar","XF","Passenger","6","3.0","74","8.3","892"
"Mercedes-Benz","CLS-Class","Passenger","6","3.0","80","8.9","899"
"Mercedes-Benz","E-Class","Passenger","6","3.0","80","8.9","899"
"BMW","X5","SUV","6","3.0","83","9.2","902"
"Jaguar","F-PACE","SUV","6","3.0","82","8.9","921"
"BMW","X6","SUV","6","3.0","83","9.0","922"
"Porsche","Cayenne","SUV","6","3.0","90","9.2","978"
"Porsche","Cayenne","SUV","6","2.9","90","9.4","957"
"Haval","H9","SUV","4","2.0","80","10.9","734"
"LDV","D90","SUV","4","2.0","75","10.2","735"
"SKODA","Kodiaq","SUV","4","2.0","60","7.6","790"
"Holden","Calais","Passenger","4","2.0","61","7.6","803"
"Holden","Commodore","Passenger","4","2.0","61","7.4","824"
"Lexus","GS","Passenger","4","2.0","66","8.0","825"
"Volvo","XC90","SUV","4","2.0","71","8.5","835"
"Mercedes-Benz","CLS-Class","Passenger","4","2.0","66","7.8","846"
"Jaguar","F-PACE","SUV","4","2.0","63","7.1","887"
"Lexus","RX","SUV","4","2.0","72","8.1","889"
"Mercedes-Benz","E-Class","Passenger","4","2.0","66","7.1","930"
"Audi","A6","Passenger","4","2.0","63","6.3","1,000"
"SKODA","Superb","Passenger","4","2.0","66","6.6","1,000"
"BMW","5  Series","Passenger","4","2.0","68","6.5","1,046"
"Land  Rover","Range  Rover Velar","SUV","4","2.0","82","7.6","1,079"
"Jaguar","XF","Passenger","4","2.0","74","6.8","1,088"
"Land  Rover","Range  Rover Sport","SUV","4","2.0","104","9.2","1,130"
"Genesis","G80","Passenger","6","3.8","77","10.4","740"
"Subaru","Outback","SUV","6","3.6","60","9.9","606"
"Holden","Calais","Passenger","6","3.6","61","9.1","670"
"Holden","Commodore","Passenger","6","3.6","61","8.9","685"
"Jeep","Wrangler","SUV","6","3.6","66","9.6","688"
"Holden","Acadia","SUV","6","3.6","73","8.9","820"
"Jeep","Grand  Cherokee","SUV","6","3.6","93","10.0","930"
"Hyundai","Santa  Fe","SUV","6","3.5","71","10.6","670"
"Kia","Sorento","SUV","6","3.5","71","10.0","710"
"Nissan","Pathfinder","SUV","6","3.5","73","9.9","737"
"Toyota","Kluger","SUV","6","3.5","72","9.1","791"
"Kia","Stinger","Passenger","6","3.3","60","10.2","588"
"Subaru","Outback","SUV","4","2.5","60","7.3","822"
"Nissan","Pathfinder","SUV","4","2.5","73","8.6","849"
"Mazda","CX-9","SUV","4","2.5","72","8.4","857"
"Mazda","CX-8","SUV","4","2.5","72","8.1","889"
"Kia","Stinger","Passenger","4","2.0","60","8.8","682"
"Suzuki","Ignis","SUV","4","1.2","32","4.7","681"
"Citroen","C3","Passenger","3","1.2","45","4.9","918"
"Audi","A1","Passenger","4","2.0","40","6.4","625"
"MINI","Hatch","Passenger","4","2.0","40","6.3","635"
"Volkswagen","Polo","Passenger","4","2.0","40","6.1","656"
"MINI","Clubman","Passenger","4","2.0","48","7.1","676"
"MG","MG3","Passenger","4","1.5","45","6.7","672"
"Audi","A1","Passenger","4","1.5","40","5.8","690"
"MINI","Hatch","Passenger","3","1.5","40","5.5","727"
"Suzuki","Swift","Passenger","4","1.4","37","6.1","607"
"Suzuki","Baleno","Passenger","4","1.4","37","5.4","685"
"Holden","Trax","SUV","4","1.4","53","6.7","791"
"Suzuki","Swift","Passenger","3","1.0","37","5.1","726"
"Audi","A1","Passenger","3","1.0","40","5.4","741"
"Nissan","JUKE","SUV","3","1.0","46","5.8","793"
"Volkswagen","Polo","Passenger","3","1.0","40","4.8","833"
"SKODA","Fabia","Passenger","3","1.0","45","4.5","1,000"
"Mazda","CX-3","SUV","4","2.0","48","6.6","727"
"Hyundai","Venue","SUV","4","1.6","45","7.0","643"
"Honda","Jazz","Passenger","4","1.5","40","6.5","615"
"Suzuki","Jimny","SUV","4","1.5","40","6.4","625"
"Honda","City","Passenger","4","1.5","40","5.9","678"
"Ford","Fiesta","Passenger","3","1.5","45","6.3","714"
"Mazda","2","Passenger","4","1.5","44","5.4","815"
"Suzuki","Baleno","Passenger","4","1.4","37","5.1","726"
"Kia","Rio","Passenger","4","1.4","45","5.6","804"
"Suzuki","Swift","Passenger","4","1.2","37","4.6","804"
"Kia","Rio","Passenger","3","1.0","45","5.4","833"
"Mazda","CX-5","SUV","4","2.5","58","7.4","784"
"Mazda","CX-5","SUV","4","2.0","56","6.9","812"
"Jaguar","XE","Passenger","4","2.0","63","6.7","940"
"Mercedes-Benz","GLC-Class","SUV","8","4.0","66","12.2","541"
"Mercedes-Benz","C-Class","Passenger","8","4.0","66","10.4","635"
"Toyota","Camry","Passenger","6","3.5","60","8.7","690"
"Lexus","IS","Passenger","6","3.5","66","9.5","695"
"Genesis","G70","Passenger","6","3.3","60","10.2","588"
"BMW","X3 M","SUV","6","3.0","65","10.6","613"
"BMW","X4 M","SUV","6","3.0","65","10.6","613"
"Mercedes-Benz","GLC-Class","SUV","6","3.0","66","10.4","635"
"Mercedes-Benz","C-Class","Passenger","6","3.0","66","9.4","702"
"BMW","X3","SUV","6","3.0","65","8.7","747"
"BMW","X4","SUV","6","3.0","65","8.7","747"
"Audi","S4","Passenger","6","3.0","58","7.7","753"
"BMW","3  Series","Passenger","6","3.0","59","7.7","766"
"Porsche","Macan","SUV","6","3.0","75","9.6","781"
"Audi","SQ5","SUV","6","3.0","70","8.7","805"
"BMW","4  Series","Passenger","6","3.0","60","6.8","882"
"Land  Rover","Defender","SUV","6","3.0","90","9.9","909"
"Audi","RS4","Passenger","6","2.9","58","9.5","611"
"Alfa  Romeo","Stelvio","SUV","6","2.9","64","10.2","628"
"Alfa  Romeo","Giulia","Passenger","6","2.9","58","8.2","707"
"Porsche","Macan","SUV","6","2.9","75","9.6","781"
"Lexus","ES","Passenger","4","2.5","50","4.8","1,042"
"Toyota","Camry","Passenger","4","2.5","50","4.2","1,191"
"Lexus","IS","Passenger","4","2.5","66","4.9","1,347"
"Holden","Equinox","SUV","4","2.0","55","8.2","671"
"Genesis","G70","Passenger","4","2.0","60","8.7","690"
"Subaru","Levorg","Passenger","4","2.0","60","8.7","690"
"Ford","Escape","SUV","4","2.0","60","8.6","698"
"Mercedes-Benz","CLA-Class","Passenger","4","2.0","51","6.7","761"
"SKODA","Octavia","Passenger","4","2.0","50","6.5","769"
"Volvo","XC60","SUV","4","2.0","60","7.8","769"
"Lexus","NX","SUV","4","2.0","60","7.7","779"
"Mercedes-Benz","GLB-Class","SUV","4","2.0","60","7.7","779"
"Volkswagen","Tiguan","SUV","4","2.0","60","7.6","790"
"SKODA","Karoq","SUV","4","2.0","55","6.9","797"
"Volvo","S60","Passenger","4","2.0","60","7.3","822"
"Volvo","V60","Passenger","4","2.0","60","7.3","822"
"Land  Rover","Discovery  Sport","SUV","4","2.0","67","8.1","827"
"Land  Rover","Range  Rover Evoque","SUV","4","2.0","67","8.1","827"
"Porsche","Macan","SUV","4","2.0","75","8.9","843"
"BMW","3  Series","Passenger","4","2.0","59","7.0","843"
"Mercedes-Benz","GLC-Class","SUV","4","2.0","66","7.8","846"
"BMW","X3","SUV","4","2.0","65","7.4","878"
"BMW","X4","SUV","4","2.0","65","7.4","878"
"Lexus","IS","Passenger","4","2.0","66","7.5","880"
"Alfa  Romeo","Stelvio","SUV","4","2.0","64","7.0","914"
"Mercedes-Benz","C-Class","Passenger","4","2.0","66","7.0","943"
"Alfa  Romeo","Giulia","Passenger","4","2.0","58","6.0","967"
"Audi","Q5","SUV","4","2.0","70","7.2","972"
"Audi","A4","Passenger","4","2.0","54","5.3","1,019"
"Volkswagen","Passat","Passenger","4","2.0","66","6.4","1,031"
"BMW","4  Series","Passenger","4","2.0","60","5.8","1,035"
"Volkswagen","Golf","SUV","4","1.8","55","6.8","809"
"Citroen","C5  Aircross","SUV","4","1.6","53","7.9","671"
"Peugeot","3008","SUV","4","1.6","53","7.0","757"
"Peugeot","5008","SUV","4","1.6","56","7.0","800"
"Subaru","Levorg","Passenger","4","1.6","60","7.4","811"
"Peugeot","508","Passenger","4","1.6","62","6.3","984"
"MG","HS","SUV","4","1.5","55","7.3","753"
"Ford","Escape","SUV","4","1.5","60","6.3","952"
"SKODA","Karoq","SUV","4","1.4","50","6.6","758"
"Volkswagen","Tiguan","SUV","4","1.4","58","7.1","817"
"SKODA","Octavia","Passenger","4","1.4","50","5.5","909"
"Audi","A4","Passenger","4","1.4","54","5.5","982"
"Mercedes-Benz","CLA-Class","Passenger","4","1.3","43","5.7","754"
"Mercedes-Benz","GLB-Class","SUV","4","1.3","52","6.5","800"
"Subaru","Liberty","Passenger","6","3.6","60","9.9","606"
"Jeep","Cherokee","SUV","6","3.2","60","9.8","612"
"Renault","Koleos","SUV","4","2.5","60","8.1","741"
"Nissan","X-TRAIL","SUV","4","2.5","60","7.9","760"
"Toyota","Camry","Passenger","4","2.5","60","7.8","769"
"Subaru","Liberty","Passenger","4","2.5","60","7.3","822"
"Subaru","Forester","SUV","4","2.5","63","7.4","851"
"Mazda","6","Passenger","4","2.5","62","7.0","886"
"Lexus","NX","SUV","4","2.5","56","5.6","1,000"
"Toyota","RAV4","SUV","4","2.5","55","4.7","1,170"
"Kia","Sportage","SUV","4","2.4","62","8.5","729"
"Hyundai","Sonata","Passenger","4","2.4","70","8.3","843"
"Kia","Optima","Passenger","4","2.4","70","8.3","843"
"Mitsubishi","Outlander","SUV","4","2.4","63","7.2","875"
"Subaru","Forester","SUV","4","2.0","48","6.7","716"
"Nissan","X-TRAIL","SUV","4","2.0","60","8.2","732"
"Honda","CR-V","SUV","4","2.0","57","7.6","750"
"Kia","Sportage","SUV","4","2.0","62","7.9","785"
"Hyundai","Tucson","SUV","4","2.0","62","7.8","795"
"Toyota","RAV4","SUV","4","2.0","55","6.8","809"
"Hyundai","Sonata","Passenger","4","2.0","70","8.5","824"
"Kia","Optima","Passenger","4","2.0","70","8.5","824"
"Audi","A4","Passenger","4","2.0","58","6.7","866"
"BMW","X4","SUV","4","2.0","65","7.3","890"
"Mitsubishi","Outlander","SUV","4","2.0","63","7.0","900"
"BMW","X3","SUV","4","2.0","65","7.1","916"
"Mercedes-Benz","C-Class","Passenger","4","2.0","66","7.0","943"
"Honda","Accord","Passenger","4","2.0","48","4.3","1,116"
"Hyundai","Tucson","SUV","4","1.6","62","7.7","805"
"Holden","Equinox","SUV","4","1.5","55","6.9","797"
"Honda","CR-V","SUV","4","1.5","57","7.0","814"
"Honda","Accord","Passenger","4","1.5","56","6.5","862"
"Fiat","500","Passenger","4","1.2","35","4.9","714"
"Fiat","500C","Passenger","4","1.2","35","4.8","729"
"Abarth","595","Passenger","4","1.4","35","6.0","583"
"Kia","Picanto","Passenger","4","1.3","35","5.0","700"
"Mitsubishi","Mirage","Passenger","3","1.2","35","4.7","745"
"Kia","Picanto","Passenger","3","1.0","35","4.8","729"
"Mahindra","XUV500","NULL","4","2.2","70","11.0","636"
"Kia","Carnival","Passenger","6","3.3","80","10.8","741"
"Honda","Odyssey","Passenger","4","2.4","55","7.6","724"
"Mitsubishi","Triton","Light  Commercial","4","2.4","75","11.4","658"
"Great  Wall","Steed","Light  Commercial","4","2.4","58","12.7","457"
"Toyota","Hilux","Light  Commercial","4","2.7","80","11.1","721"
"RAM","1500","Light  Commercial","8","5.7","98","12.2","803"
"Jeep","Gladiator","Light  Commercial","6","3.6","83","11.2","741"
"Mazda","CX-30","SUV","4","2.5","48","6.8","706"
"Mazda","3","Passenger","4","2.5","51","6.3","810"
"Mazda","CX-30","SUV","4","2.0","51","6.5","785"
"Mazda","3","Passenger","4","2.0","51","6.4","797"
"Lexus","UX","SUV","4","2.0","47","5.8","810"
"Toyota","Prius","Passenger","4","1.8","43","3.4","1,265"
"Subaru","WRX","Passenger","4","2.5","60","10.9","551"
"Ford","Focus","Passenger","4","2.3","52","8.1","642"
"Honda","Civic","Passenger","4","2.0","47","8.8","534"
"Hyundai","i30","Passenger","4","2.0","50","8.0","625"
"Mercedes-Benz","GLA-Class","SUV","4","2.0","51","8.0","638"
"Subaru","WRX","Passenger","4","2.0","60","9.2","652"
"BMW","1  Series","Passenger","4","2.0","50","7.5","667"
"Volvo","XC40","SUV","4","2.0","54","7.2","750"
"Volkswagen","T-Roc","SUV","4","2.0","55","7.2","764"
"Volkswagen","Golf","Passenger","4","2.0","50","6.5","769"
"MINI","Countryman","SUV","4","2.0","51","6.6","773"
"Mercedes-Benz","A-Class","Passenger","4","2.0","51","6.5","785"
"Audi","A3","Passenger","4","2.0","50","6.1","820"
"Audi","S3","Passenger","4","2.0","55","6.7","821"
"Audi","Q2","SUV","4","2.0","55","6.5","846"
"BMW","X2","SUV","4","2.0","51","6.0","850"
"Jaguar","E-PACE","SUV","4","2.0","68","7.7","883"
"BMW","X1","SUV","4","2.0","61","6.5","939"
"Mazda","3","Passenger","4","2.0","51","5.3","962"
"Renault","Megane","Passenger","4","1.8","50","8.0","625"
"Toyota","C-HR","SUV","4","1.8","43","4.3","1,000"
"Toyota","Prius  V","Passenger","4","1.8","45","4.4","1,023"
"Lexus","CT","Passenger","4","1.8","45","4.1","1,098"
"Alfa  Romeo","Giulietta","Passenger","4","1.8","60","6.8","882"
"Holden","Astra","Passenger","4","1.6","48","6.3","762"
"Haval","H2","SUV","4","1.5","55","8.2","671"
"SsangYong","Korando","SUV","4","1.5","47","7.0","671"
"MG","ZS","SUV","4","1.5","48","7.1","676"
"BMW","X1","SUV","3","1.5","51","6.3","810"
"BMW","X2","SUV","3","1.5","51","6.3","810"
"MINI","Countryman","SUV","3","1.5","51","6.3","810"
"Ford","Focus","Passenger","3","1.5","52","6.4","813"
"BMW","1  Series","Passenger","3","1.5","50","5.9","848"
"BMW","2  Series","Passenger","3","1.5","50","5.9","848"
"SKODA","Scala","Passenger","4","1.5","50","4.9","1,020"
"Suzuki","S-Cross","SUV","4","1.4","47","5.9","797"
"Suzuki","Vitara","SUV","4","1.4","47","5.9","797"
"Audi","Q3","SUV","4","1.4","58","7.2","806"
"Volkswagen","Golf","Passenger","4","1.4","50","5.7","877"
"Audi","Q2","SUV","4","1.4","50","5.3","943"
"Audi","A3","Passenger","4","1.4","50","5.0","1,000"
"Alfa  Romeo","Giulietta","Passenger","4","1.4","60","4.9","1,225"
"Mercedes-Benz","GLA-Class","SUV","4","1.3","43","6.2","694"
"Mercedes-Benz","A-Class","Passenger","4","1.3","43","5.7","754"
"Mercedes-Benz","B-Class","Passenger","4","1.3","43","5.7","754"
"Renault","Kadjar","SUV","4","1.3","55","6.3","873"
"Toyota","C-HR","SUV","4","1.2","50","6.4","781"
"Peugeot","308","Passenger","3","1.2","53","5.0","1,060"
"MG","ZS","SUV","3","1.0","48","6.7","716"
"Volkswagen","T-Cross","SUV","3","1.0","40","5.4","741"
"Audi","A3","Passenger","3","1.0","50","4.8","1,042"
"Jeep","Compass","SUV","4","2.4","66","9.7","680"
"Mitsubishi","ASX","SUV","4","2.4","63","7.9","798"
"Kia","Cerato","Passenger","4","2.0","50","7.6","658"
"Hyundai","i30","Passenger","4","2.0","50","7.3","685"
"Hyundai","Kona","SUV","4","2.0","50","7.2","694"
"Hyundai","Elantra","Passenger","4","2.0","50","7.0","714"
"Kia","Seltos","SUV","4","2.0","50","6.8","735"
"Subaru","Impreza","Passenger","4","2.0","50","6.6","758"
"Toyota","Corolla","Passenger","4","2.0","50","6.3","794"
"Mitsubishi","ASX","SUV","4","2.0","63","7.7","818"
"Nissan","Qashqai","SUV","4","2.0","65","7.7","844"
"Subaru","XV","SUV","4","2.0","63","7.0","900"
"Honda","Civic","Passenger","4","1.8","47","6.4","734"
"Honda","HR-V","SUV","4","1.8","50","6.6","758"
"Toyota","Corolla","Passenger","4","1.8","43","4.2","1,024"
"Hyundai","Elantra","Passenger","4","1.6","50","7.8","641"
"Kia","Seltos","SUV","4","1.6","50","7.6","658"
"Hyundai","i30","Passenger","4","1.6","50","7.5","667"
"Kia","Cerato","Passenger","4","1.6","50","6.8","735"
"Hyundai","Kona","SUV","4","1.6","50","6.7","746"
"Suzuki","Vitara","SUV","4","1.6","47","5.8","810"
"Hyundai","IONIQ","Passenger","4","1.6","45","3.4","1,324"
"Honda","Civic","Passenger","4","1.5","47","6.0","783"
"Mitsubishi","Eclipse  Cross","SUV","4","1.5","63","7.3","863"
"Holden","Astra","Passenger","4","1.4","48","5.8","828"
"Alpine","A110","Passenger","4","1.8","45","6.2","726"
"Rolls-Royce","Dawn","Passenger","12","6.6","82","14.4","569"
"Rolls-Royce","Wraith","Passenger","12","6.6","82","14.3","573"
"Lamborghini","Aventador","Passenger","12","6.5","85","18.4","462"
"Ferrari","812  GTS","Passenger","12","6.5","92","15.8","582"
"Ferrari","812  Superfast","Passenger","12","6.5","92","15.0","613"
"Ferrari","GTC4Lusso","Passenger","12","6.3","91","15.3","595"
"Bentley","Continental","Passenger","12","6.0","90","13.6","662"
"Lamborghini","Huracan","Passenger","10","5.2","80","13.9","576"
"Aston  Martin","DBS","Passenger","12","5.2","78","12.4","629"
"Aston  Martin","DB11","Passenger","12","5.2","78","11.4","684"
"Ford","Mustang","Passenger","8","5.0","61","12.7","480"
"Lexus","RC","Passenger","8","5.0","66","11.2","589"
"Jaguar","F-TYPE","Passenger","8","5.0","70","11.3","620"
"Lexus","LC","Passenger","8","5.0","82","11.6","707"
"Maserati","GranCabrio","Passenger","8","4.7","75","14.5","517"
"Maserati","GranTurismo","Passenger","8","4.7","86","14.3","601"
"Mercedes-Benz","SL-Class","Passenger","8","4.7","75","9.1","824"
"Alpina","B5","Passenger","8","4.4","66","10.5","629"
"BMW","8  Series","Passenger","8","4.4","68","10.7","636"
"BMW","M8","Passenger","8","4.4","68","10.4","654"
"Porsche","718","Passenger","6","4.0","64","11.0","582"
"McLaren","GT","Passenger","8","4.0","72","10.8","667"
"McLaren","720S","Passenger","8","4.0","72","10.7","673"
"Mercedes-Benz","AMG GT","Passenger","8","4.0","80","11.3","708"
"Aston  Martin","Vantage","Passenger","8","4.0","73","10.3","709"
"Bentley","Continental","Passenger","8","4.0","90","11.8","763"
"Aston  Martin","DB11","Passenger","8","4.0","78","9.9","788"
"Ferrari","488  Pista Spider","Passenger","8","3.9","78","11.7","667"
"Ferrari","488  Pista","Passenger","8","3.9","78","11.5","678"
"Ferrari","F8  Spider","Passenger","8","3.9","86","12.4","694"
"Ferrari","F8  Tributo","Passenger","8","3.9","86","12.2","705"
"Ferrari","Portofino","Passenger","8","3.9","80","10.7","748"
"Ferrari","GTC4Lusso","Passenger","8","3.9","91","11.6","785"
"Porsche","911","Passenger","6","3.8","67","11.5","583"
"McLaren","570GT","Passenger","8","3.8","72","12.2","590"
"McLaren","600LT","Passenger","8","3.8","72","11.7","615"
"Nissan","GT-R","Passenger","6","3.8","74","12.0","617"
"McLaren","570S","Passenger","8","3.8","72","11.0","655"
"Nissan","370Z","Passenger","6","3.7","72","10.6","679"
"Lotus","Exige","Passenger","6","3.5","48","10.0","480"
"Honda","NSX","Passenger","6","3.5","58","9.7","598"
"Lotus","Evora","Passenger","6","3.5","60","9.7","619"
"Lexus","RC","Passenger","6","3.5","66","9.1","725"
"Lexus","LC","Passenger","6","3.5","82","6.7","1,224"
"Porsche","911","Passenger","6","3.0","64","9.4","681"
"BMW","M4","Passenger","6","3.0","60","8.8","682"
"BMW","Z4","Passenger","6","3.0","52","7.5","693"
"BMW","2  Series","Passenger","6","3.0","52","7.1","732"
"Audi","S5","Passenger","6","3.0","58","7.6","763"
"Mercedes-Benz","AMG GT","Passenger","6","3.0","80","10.4","769"
"Jaguar","F-TYPE","Passenger","6","3.0","70","8.6","814"
"Mercedes-Benz","SLC-Class","Passenger","6","3.0","70","8.3","843"
"BMW","8  Series","Passenger","6","3.0","68","7.9","861"
"Audi","RS5","Passenger","6","2.9","58","8.8","659"
"Audi","TT RS","Passenger","5","2.5","55","8.0","688"
"Porsche","718","Passenger","4","2.5","64","8.2","781"
"Subaru","BRZ","Passenger","4","2.0","50","8.4","595"
"Toyota","86","Passenger","4","2.0","50","8.4","595"
"MINI","Convertible","Passenger","4","2.0","40","6.5","615"
"Mazda","MX-5","Passenger","4","2.0","45","6.8","662"
"BMW","Z4","Passenger","4","2.0","52","7.2","722"
"Audi","TTS","Passenger","4","2.0","55","7.0","786"
"Audi","TT","Passenger","4","2.0","55","6.6","833"
"Porsche","718","Passenger","4","2.0","64","7.5","853"
"Jaguar","F-TYPE","Passenger","4","2.0","63","7.2","875"
"BMW","2  Series","Passenger","4","2.0","52","5.9","881"
"Lexus","RC","Passenger","4","2.0","66","7.3","904"
"Audi","A5","Passenger","4","2.0","54","5.6","964"
"Mercedes-Benz","SLC-Class","Passenger","4","2.0","60","6.2","968"
"Lotus","Elise","Passenger","4","1.8","40","7.5","533"
"Alfa  Romeo","4C","Passenger","4","1.7","40","6.8","588"
"MINI","Convertible","Passenger","3","1.5","40","5.6","714"
"Mazda","MX-5","Passenger","4","1.5","45","6.2","726"
"Toyota","Supra","Passenger","6","3.0","52","7.7","675"
"Ford","Mustang","Passenger","4","2.3","59","9.6","615"
"Hyundai","Veloster","Passenger","4","2.0","50","7.0","714"
"Hyundai","Veloster","Passenger","4","1.6","50","7.3","685"
"Rolls-Royce","Cullinan","SUV","12","6.7","90","15.1","596"
"Rolls-Royce","Phantom","Passenger","12","6.7","90","13.9","648"
"BMW","7  Series","Passenger","12","6.6","78","13.0","600"
"Chrysler","300","Passenger","8","6.4","70","13.0","539"
"Bentley","Flying  Spur","Passenger","12","6.0","90","14.8","608"
"Mercedes-Benz","S-Class","Passenger","12","6.0","80","12.7","630"
"Bentley","Bentayga","SUV","12","6.0","85","13.1","649"
"Lexus","LX","SUV","8","5.7","138","14.4","958"
"Nissan","Patrol","SUV","8","5.6","140","14.4","972"
"Land  Rover","Range  Rover","SUV","8","5.0","104","12.8","813"
"BMW","X7","SUV","8","4.4","83","11.6","716"
"BMW","7  Series","Passenger","8","4.4","78","10.1","772"
"Lamborghini","Urus","SUV","8","4.0","85","12.7","669"
"Bentley","Bentayga","SUV","8","4.0","85","11.4","746"
"Mercedes-Benz","G-Class","SUV","8","4.0","100","13.1","763"
"Porsche","Panamera","Passenger","8","4.0","90","10.9","826"
"Mercedes-Benz","S-Class","Passenger","8","4.0","80","8.5","941"
"Maserati","Quattroporte","Passenger","8","3.8","80","10.7","748"
"Lexus","LS","Passenger","6","3.5","82","6.6","1,242"
"Mercedes-Benz","S-Class","Passenger","6","3.0","70","8.4","833"
"Maserati","Quattroporte","Passenger","6","3.0","80","9.1","879"
"Audi","Q8","SUV","6","3.0","85","9.2","924"
"Porsche","Panamera","Passenger","6","3.0","75","7.8","962"
"Mercedes-Benz","GLS-Class","SUV","6","3.0","90","9.2","978"
"Audi","A8","Passenger","6","3.0","82","8.2","1,000"
"BMW","7  Series","Passenger","6","3.0","78","7.7","1,013"
"Land  Rover","Range  Rover","SUV","6","3.0","104","9.4","1,106"
"Chrysler","300","Passenger","6","3.6","70","9.7","722"
"LDV","G10","Light  Commercial","4","2.0","75","11.7","641"
"Volkswagen","Caddy","Light  Commercial","4","1.4","55","6.0","917"
"Renault","Kangoo","Light  Commercial","4","1.2","56","6.2","903"
"Volkswagen","Caddy","Light  Commercial","4","1.2","55","5.9","932"
"Toyota","Hiace","Light  Commercial","6","3.5","70","12.4","565"
